## CSV MS-Excel compatible file
## MACSPEC Mtable/writeCSV is source
SLIT,X1,X2,Y1,Y2,TARGTYPE,TARGNAME
0,626,646,446,448,USER,CLICK
1,448,468,454,456,USER,CLICK
2,298,318,394,396,USER,CLICK
3,240,262,404,406,USER,CLICK
4,143,163,352,354,USER,CLICK
5,121,141,386,389,USER,CLICK
6,58,78,414,416,USER,CLICK
7,769,789,356,358,USER,CLICK
8,731,751,289,291,USER,CLICK
9,674,694,207,209,USER,CLICK
10,590,610,76,78,USER,CLICK
11,559,579,69,71,USER,CLICK
12,511,531,76,78,USER,CLICK
13,414,434,87,89,USER,CLICK
14,215,235,411,413,USER,CLICK
